DNI, Apellidos, Nombre, emailUGR
23422342, Ramonet, Noam, noamramonet@ugr.es
23484212, Palomar Saez, David, dpalomar@ugr.es
34573724, Saez de la Coba, Javier, jscoba@correo.ugr.es
95672345, Fernandez Fernandez, Sergio, sergioff98@correo.ugr.es
69580123, Perez Brocal, Daniel, danipb11@correo.ugr.es
22434522, Parrilla Navarro, Pedro Miguel, pedroparrilla@correo.ugr.es
47586979, Sanchez Garcia, Sandro, sandrogarcia97@correo.ugr.es
66666665, Ocaña Valenzuela, Juan, patchispatch@correo.ugr.es
12345678, Dominguez Lopez, Pedro, pedrodominguez@correo.ugr.es
66601666, Hernandez Munoz, Laura, laurahernandez@correo.ugr.es
13485168, Cantero Molina, Elena, elenacantero@correo.ugr.es
12345678, Gil Martín, Luis Angel, luisgm420@correo.ugr.es
